"IDReceta";"Receta";"Preparacion";"Porciones";"IDCategoria";"IDCocina";"IDComplejidad";"Sugerencia";"IDRendimiento"
829;"Tempura de verduras";"Lavamos todas las verduras y pelamos la calabaza.
Las troceamos, cortamos el calabacín y la berenjena en rodajas de medio centímetro de espesor. 
Laminamos la zanahoria y la calabaza en trozos un poco más finos aún. Cortamos las flores de brócoli y de coliflor en cuartos. 
Hacemos lo mismo con los rábanos, tras cortarles el tallo y el rabo.
Troceamos las setas a la mitad. Reservamos todo en un bol.

Echamos el agua fría en un cuenco, cascamos el huevo y lo batimos enérgicamente. 
Añadimos la pizca de sal y azúcar, vamos añadiendo la harina de tempura poco a poco mientras removemos, al acabar deberíamos tener una mezcla espesa.

Ponemos una sartén al fuego con abundante aceite de oliva virgen extra suave. Le añadimos una cucharadita de aceite de sésamo y calentamos.
Cuando el aceite está bien caliente vamos sumergiendo las verduras en la masa, escurrimos el exceso y freímos en el aceite hasta que estén ligeramente doradas. 
Retiramos a un plato cubierto con papel absorbente para que suelten el exceso de aceite.

Salsa para acompañar la tempura de verduras
Para preparar la salsa que acompaña a las verduras colocamos un cazo con 150 ml. de agua al fuego y cuando esté hirviendo añadimos 5 g. de algas kombu.
Lo dejamos infusionar 5 minutos y colamos. Volvemos a poner ese agua al fuego, añadimos un par de cucharadas de salsa de soja y una de salsa mirin y llevamos a ebullición.
Retiramos del fuego, echamos una cucharada de azúcar y removemos hasta que se diluya. Reservamos y dejamos enfriar.

Consejos para una tempura de verduras perfecta
La masa con la que cubrimos las verduras debe ser lo suficientemente espesa como para pegarse a ellas pero no tanto como para crear una capa demasiado gruesa, o no llegarán a hacerse.
Para ello ajustamos la cantidad de agua, es mejor que inicialmente quede demasiado espesa y después añadir más agua fría muy poco a poco, removiendo cada vez, sin pasarse";4,00;2;19;4;;2
830;"Pan dulce de Blanca Cotta";"Paso 1
Para hacer la esponja, disuelver en un bowl la levadura con el agua tibia. Mezclar la cucharadita de azúcar y una cucharada bien panzona de harina.

Paso 2
Batir bien con batidor de mano o con cuchara de madera, hasta que se formen globitos. Tapar flojamente con un repasador limpio o una bolsita de nailon y esperar a que la levadura fermente y espume.

Paso 3
Para la masa. Poner en un bowl grande 3/4 kilo de la harina indicada y hacer un hueco en el centro. Colocar allí la manteca blanda (retirarla un rato antes de la heladera), el azúcar, la ralladura de limón (sólo la parte amarilla, sin resto de piel blanca), unas gotitas de agua de azahar, el coñac y los 2 huevos.

Paso 4
Agregar ahora en el hueco la esponja de levadura preparada en el paso 1. Mezclar todo con la mano abierta (es la mejor manera), mientras unir todo con la leche tibia, agregando de a poco, más la harina extra necesaria. El objetivo es ligar todos los ingredientes hasta formar un bollo tierno, que no se pegotee en las manos.

Paso 5
Volcar el bollo sobre la mesa enharinada y agregarle de a poco, más harina, mientras, amasar enérgicamente hasta obtener una masa tierna y lisa. Colocarla en un bowl suficientemente amplio, pintar la panza con un poco de manteca derretida o aceite, tapar flojamente, dejar reposar en el horno apagado hasta el otro día.

Paso 6
Al día siguiente, volcar la masa sobre la mesa enharinada y aplastarla con mucha fuerza para desgasificarla bien y evitar así que salga un pan dulce lleno de agujeritos. La idea es lograr una masa compacta.

Paso 7
Una vez bien desgasificada la masa, estirarla sobre la mesa enharinada dándole forma rectangular y un espesor de 2 centímetros aproximadamente. Picar sobre una tabla toda la fruta seca y abrillantada y mezclarla bien en un bowl. Extender la mezcla de frutas sobre el rectángulo de masa, distribuyéndola bien parejo.

Paso 8
Enrollar la masa a lo largo, encerrando las frutas, como armando un pionono. Enroscar el arrollado en espiral y luego amasarlo con bronca para distribuir bien las frutas en el interior del bollo. Entonces, sí: dividir la masa en 2 porciones y darle a cada una forma de pan dulce. O colocarlas dentro de los moldes de papel.

Paso 9
Tapar flojamente los panes y dejar reposar en un lugar tibio, hasta que crezcan al doble. Pero antes, con un cuchillito filoso hacer, en la panza de cada pan dulce, 3 tajitos superficiales formando un triángulo. O simplemente 2 tajos superficiales en cruz, para que se abran al leudar.

Paso 10
Una vez leudados, pintar los panes con huevo batido y cocinarlos en horno precalentado en moderado. Colocar en el piso del horno un jarrito con agua para que la corteza no se reseque (retirar el jarrito 5 minutos antes de terminar la cocción). En cuanto los panes estén doraditos, retirar y enfriar sobre rejilla";8,00;7;9;4;;2
831;"Leche condensada - OK";"1- Colocar en un recipiente para minipimer  dos tercios de taza de azúcar. A eso agregarle una pizca de sal y  una cucharada de manteca.

2- Hervir agua y a llenar un cuarto de taza.. Mezclarla con el azúcar y la manteca. Hay que revolver bien, hasta que la manteca esté derretida e incorporada con el resto de los ingredientes.

3- Una vez que están los ingredientes bien disueltos y la mezcla a obtiene una consistencia de almibar, vamos a agregar la leche en polvo. Mezclar bien todo hasta que la leche en polvo esté bien incorporada con el resto de los ingredientes. 

4-Con una minipimer batir los ingredientes hasta que la mezcla quede lisita lisita sin ningún grumo dando vueltas. Esto es super importante para que la leche condensada casera quede con una textura agradable. Si quedó muy espesa la consistencia,  agregar más agua hirviendo (la cantidad que consideren necesaria) y volver a batir con la minipimer.";300,00;11;9;2;;9
832;"Pejerrey frito";"1 Lava y seca los pescados con un papel de cocina, de este modo absorberán con mayor facilidad el rebozado que vas a preparar. 
2 Para preparar el rebozado, coloca en un cuenco la harina y mézclala con el ajo, el perejil en polvo y un poquito de pimienta y sal. 
3 Añade el vino blanco y mezcla hasta obtener una crema espesa, similar a la tempura tradicional. Una vez conseguida, deberás introducir cada uno de los pescados para rebozarlos por completo. En paralelo, pon una sartén con abundante aceite al fuego.

Truco: puedes darle la textura correcta , añadiendo mas o menos vino, si no tuvieses vino puedes utilizar cerveza igualmente.
4 Cocina el pejerrey frito por tandas y a fuego medio para evitar que se peguen entre ellos. Si los introduces todos de golpe no quedarán crujientes y te será más complicado cocinarlos correctamente. Cuando observes que están dorados, retíralos y déjalos sobre papel de cocina para absorber el exceso de grasa.

Truco: Para hacer le pejerrey frito sin harina puedes pasar los pescados por huevo batido con un poco de pimienta y sal.";4,00;16;6;2;;2
833;"Papas a la crema II";"1. Pelar las papas y cortarlas en rodajas medianas, más o menos de 1/2 centímetro.

2. Untamos el fondo de una fuente para horno con media cucharada de manteca blanda. Sobre esta manteca, frotamos el ajo, sin piel y partido al medio.

3. Acomodamos en la fuente las papas, en forma de calesita

4. Ahora colocamos en un bol la leche, la crema de leche, el queso crema, sal, y bastante pimienta. Batimos hasta que el queso crema se disuelva.

5. Echamos la mezcla de crema sobre nuestras papas y llovemos con queso rallado del que te guste. Yo le puse dos quesos: uno más blando, tipo queso de campo, y otro tipo parmesano, más duro. La idea no es que las papas queden bañadas en queso (por eso no usamos uno tipo mozzarella), sino que quede una cubierta crocante sobre ellas.

6. Llevar a horno una media hora. Al sacarlo, se verá la parte de arriba dorada y crocante,";2,00;13;6;2;;2
834;"Colita de cuadril con hongos de pino";"- Sellar la carne en una cacerola con la manteca y aceite de oliva.
- Retirar la carne y colocar las cebollas picadas, dorar levemente.
- Volver la carne a la cacerola, y desglasar con el vino. Agregar el caldo y tapar.
- Dejar cocinar media hora, dar vuelta la carne y cocinar por media hora más.
- Después de dar vuelta la carne, lavar los hongos muy bien y colocarlos a hidratar con agua hirviendo. 
- 10 minutos antes que se termine la cocción de la carne, agregar la crema de leche y los hongos. También podemos utilizar un poco del agua de hidratación si vemos que necesitamos más líquido.
- Acompañar con papas al natural, o arroz blanco.";4,00;2;6;3;;2
835;"Membrillos asados";"INGREDIENTES: 
2 membrillos (no están en la lista)

Lava los membrillos, córtalos por la mitad y vacía el centro. Colócalos en una bandeja de horno y sobre cada mitad añade una estrella de anís, un poco de canela y un clavo de olor. Tritura los dátiles con 3 cucharadas soperas de agua, para formar un sirope y cubre los membrillos.

Echa el resto del agua sobre los membrillos para que cubra el fondo de la bandeja de horno y hornéalo a 200ºC durante 45 minutos. De vez en cuando ve regándolos con el almíbar de la bandeja. Cuando estén listos pincha con un palillo para ver si están tiernos, y si no déjalos un poquito más.";2,00;11;9;2;;2
836;"Dulce de membrillo";"INGREDIENTES: 
Membrillos
Azúcar   

Antes de nada, lo primero va a ser lavar bien los membrillos. A continuación los pasamos a una olla grande. Los cubrimos cmembrillo en el arbolon agua y llevamos a ebullición. En ese momento, bajamos a fuego medio y dejamos cociendo unos 40/45 min. (dependiendo del tamaño de los membrillos).
    Pasado del tiempo, los retiramos con cuidado y los dejamos enfriar un tiempo prudencial, para no quemarnos. Los pelamos, le quitamos el corazón y cortamos la pulpa en pequeños trozos.
    Pesamos la cantidad, y de lo resultante, tendremos que utilizar el 80% de ese peso en azúcar. En mi caso, la pulpa son 850 gramos, así que emplearé 680 gramos de azúcar para hacer el dulce de membrillo.
    En una olla grande y plana, echamos la pulpa de membrillo y añadimos todo el azúcar. Removemos y cocinamos a fuego bajo/medio. Poco a poco el azúcar se irá integrando con la fruta. Cuando lleve unos 10 minutos, y esté el azúcar totalmente disuelto.
    Pasamos la batidora (o por el pasapuré) para hacer una mezcla más fina. Para esta cantidad de membrillo, tendremos que cocinar aproximadamente una hora.
    Debemos de ir removiendo de vez en cuando, con una cuchara de madera o similar (nunca metálica). Es para que no se pegue al fondo, y para que se vaya cocinando de una manera más homogénea. La pulpa irá espesando y oscureciendo según avance el tiempo.
    Cuando la cuchara se mantenga por sí sola, clavada en el dulce, es que está en la textura adecuada. En este punto, si lo queréis más fino todavía, podéis darle un golpe más de batidora. En cuanto a los recipientes para el molde, en casa siempre se han utilizado “tapers” de plástico, bajos y anchos.
    Vertemos directamente la pulpa en ellos, tapamos y los dejamos en el frigorífico unas 24 horas. De esta manera cogerá la consistencia y textura adecuada.";1,00;11;6;3;;2
837;"Mohnnudeln";"Los Mohnnudeln son una especialidad culinaria dulce originaria de Austria y Bohemia.

Hervir las papas como para puré. Pelar las papas cocidas, pasarlas por un pasapurés y amasarlas con la harina, la sémola, 1 pizca de sal, la mantequilla y la yema.

Formar la masa en rollos del grosor de un pulgar en una superficie de trabajo enharinada, cortarla en rodajas de unos 2 cm de grosor y darle forma de Nudeln.

Poner los Nudeln en agua hirviendo ligeramente salada, remover suavemente y cocer a fuego lento hasta que floten en la superficie (unos 5 minutos) y estén firmes al morder. Sacarlos del agua y escurrirlos bien.

Derretir la mantequilla en una sartén y freír brevemente en ella los Nudeln escurridos.

Echar mantequilla derretida sobre los Nudeln y hacerlos rodar  sobre las semillas de amapola y el azúcar impalpable. Servir. / Alternativamente, servir los Nudeln y llevar la mantequilla derretida, el azúcar impalpable y las semillas de amapola a la mesa para que cada comensal agregue a gusto. 

Es habitual acompañarlos con compota de manzanas.";4,00;11;33;3;"Cantidades para 4 porciones abundantes.";2
838;"Sopa de ajo";"Pelar los ajos y picarlos muy finamente.
A continuación, derretir la mantequilla en un cazo y añadir la harina en cuanto la mantequilla esté caliente. Remover constantemente.
Añadir los dientes de ajo y verter el caldo de carne y la crema; se remueve todo rápidamente con un batidor para que no se formen grumos.
Llevar la sopa a ebullición y dejarla cocer a fuego lento durante unos 20 minutos, sazonar con sal, ciboulette y pimienta. 

TIPS: 
- Se puede agregar 1 cebolla además del ajo. 
- Suele servirse con croutons y ciboulette picada. Idealmente, servir adentro de un pan de campo. 
- Se le puede agregar nuez moscada. 

CROUTONS: 
Calentar mantequilla en una sartén.
Mientras tanto, cortar el pan tostado en cubos pequeños y añadirlo a la sartén.
Pelar los ajos, pasarlos por el prensador de ajos y añadir a la sartén; se fríen en ella los dados de pan hasta que se doren.";4,00;19;33;4;;2
839;"Creme brûlée. Receta tradicional francesa";"Preparación de la base de la crema

1 - Comenzamos preparando la base de agua en la que colocaremos nuestros moldes con la crème brûlée. Para ello llenamos de unos 3 dedos de agua, una bandeja grande en la que luego nos quepan los moldes que vayamos a utilizar para hornear la crema.

2 - Encendemos el horno a 160º C y ponemos la fuente con el agua en el horno. La intención es que el agua esté caliente en el momento en el que comencemos a hornear la crema.

3 - En una cazuela calentamos la nata con las semillas de la vaina de vainilla. Incorporamos también la propia vaina, una vez abierta. Calentamos la nata durante unos 10 minutos, teniendo mucho cuidado de que nunca llegue a hervir. Retiramos del fuego y dejamos que repose durante 20 minutos.

4 - En un bol batimos las yemas con el azúcar y una pizca de sal, hasta que tengamos una crema espumosa. Añadimos la nata poco a poco, colándola y sin parar de remover hasta integrarla con el resto de ingredientes.

5 - Volvemos a poner la crema en una cazuela y la cocinamos, sin parar de remover, a fuego medio durante unos minutos. Veremos como la crema empieza a espesar ligeramente.

6 - Vertemos la mezcla en los moldes que hayamos elegido para la crème brûlée y los colocamos dentro de la fuente que tenemos calentándose en el horno. El agua de la fuente debería llegar hasta más o menos la mitad de los molde con la crema.

Horneado y quemado. Presentación de la crème brûlée

1 - Precalentamos el horno a 160º C durante 10 minutos. El horno debe estar caliente cuando metamos la crème brûlée. Horneamos durante 30 minutos a 160º C.

2 - Retiramos la bandeja del horno y dejemos que se enfríe la crema sobre una rejilla. No guardaremos las crème brûlée en el frigo hasta que se haya enfriado totalmente. Podemos dejarla de un día para otro.
3 - Cubrimos cada uno de los molde con 2 cucharadas de azúcar. Y con la ayuda de un quemador de cocina tostamos el azúcar superficial hasta que quede un caramelo. Sólo tiene que quedar con una fina capa que protegerá la crema.

4 - Dejamos que el caramelo se enfríe y se solidifique antes de disfrutar de este postre lácteo tradicional francés. Toda una maravilla gastronómica, perfecta para una sobremesa de categoría.";4,00;11;3;3;;2
